Code,Name,Date,Type,ID,Status,Broker,Prev,On,Off,Balance,,,,
SESOB,SECOS Group Ltd,22/04/2015,Security Code Change,001295B1DOP6WW00,from: CNNOB,Netwealth,,1125,,1125,,,,
NAB,National Australia Bank,27/04/2015,Sold,0638101134512000,,Netwealth,185,,185,0,,,,
PSY,Panorama Synergy Ltd,29/04/2015,Bought,0638101137097100,,Netwealth,,23000,,23000,,,,
BHP,BHP Billiton Ltd,22/06/2006,Bought,0140210816040100,,Netwealth,,1000,,1000,,,,
AKK,Austin Exploration Ltd,3/04/2012,Allotment from SPP,6066400000832700,,Netwealth,560000,344828,,904828,,,,
AMP,AMP Ltd,5/04/2012,DRP,5870600205589900,,Netwealth,247,9,,256,,,,
CCL,Coca-Cola Amatil Ltd,3/04/2012,DRP,5899002221034600,,Netwealth,8,1,,9,,,,
QMNO,Queensland Mining Corporation Ltd,13/06/2012,Option Lapsed,6125500237881700,,Netwealth,100000,,100000,0,,,,
CNN,Cardia Bioplastics Ltd,20/03/2012,Rights Entitlements,6137400082036900,,Netwealth,450000,112500,,562500,,,,
CNN,Cardia Bioplastics Ltd,21/03/2012,Rights Entitlements,6137400082058500,,Netwealth,,112500,,112500,,,,
RMIOB,Resource Mining Corporation Ltd,15/03/2012,Rights Entitlements,5848600003078100,,Commsec,,7500,,7500,,,,
RMI,Resource Mining Corporation Ltd,15/03/2012,Rights Entitlements,5848600003056600,,Commsec,60000,30000,,90000,,,,
MNM,Mantle Mining Corporation Ltd,7/03/2012,Sold,0140214375176900,,Commsec,30000,,300,29700,,,,
MNM,Mantle Mining Corporation Ltd,7/03/2012,Sold,0140214375177000,,Commsec,29700,,29700,0,,,,
MNMOA,Mantle Mining Corporation Ltd,7/03/2012,Sold,0140214375176800,,Commsec,10000,,10000,0,,,,
AMP,AMP Ltd,12/10/2012,DRP,5870600212111600,,Netwealth,256,7,,263,,,,
PIE,pieNetworks Ltd,23/10/2012,Consolidation - 30:1,5902900000473300,,Netwealth,112500,,108750,3750,,,,
DYL,Deep Yellow Ltd,27/07/2012,Rights Entitlements,5943500002714300,,Netwealth,30000,,6667,36667,,,,
NAB,National Australia Bank,16/07/2012,DRP,6025400356696200,,Netwealth,159,6,,165,,,,
AKKOB,Austin Exploration Ltd,19/07/2012,Option Lapsed,6066400001048100,,Netwealth,214285,,214285,0,,,,
AVB,Avanco Resources Ltd,7/05/2012,Exercise of Options,6119700001016200,,Netwealth,,42000,,42000,,,,
AVBOB,Avanco Resources Ltd,7/05/2012,Exercise of Options,6119700001016200,,Netwealth,42000,,42000,0,,,,
JKA,Jacka Resources Ltd,19/04/2012,Bought,0140214421613100,,Commsec,,25000,,25000,,,,
JKA,Jacka Resources Ltd,27/04/2012,Bought,0140214429168700,,Commsec,25000,20000,,45000,,,,
SDL,Sundance Resources Ltd,20/04/2012,Sold,0140214422477100,,Commsec,21000,,12000,9000,,,,
SDL,Sundance Resources Ltd,27/04/2012,Bought,0140214429402900,,Commsec,9000,12000,,21000,,,,
GRM,Global Resources Corporation Ltd,4/06/2012,Consolidation - 20:1,6199100237506300,,Commsec,400000,,400000,0,,,,
